Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1n_250V,C_1206_3216Metric,131.7,-83.25,180,bottom
C2,100n,C_0402_1005Metric,116.1,-102.3,180,bottom
C3,100n,C_0402_1005Metric,123.25,-98.25,-90,bottom
C5,1n_250V,C_1206_3216Metric,134.1,-91.75,180,bottom
C11,1n_250V,C_1206_3216Metric,134.15,-109.05,180,bottom
C14,1n_250V,C_1206_3216Metric,135.3,-119.35,-90,bottom
C27,4.7u,C_1206_3216Metric,124.55,-126.75,90,bottom
C29,2.2u,C_1206_3216Metric,112.8,-58.3,180,bottom
C30,4.7u,C_1206_3216Metric,117.8,-124.7,180,bottom
C31,4.7u,C_1206_3216Metric,117.8,-122.2,180,bottom
C32,4.7u,C_1206_3216Metric,117.8,-119.7,180,bottom
C34,1n_250V,C_1206_3216Metric,139.65,-123.6,0,bottom
C35,100n,C_0402_1005Metric,130.4,-128.15,180,bottom
C36,100n,C_0402_1005Metric,130.3,-121.4,180,bottom
C37,4.7u,C_1206_3216Metric,122,-78.875,90,bottom
C38,4.7u,C_1206_3216Metric,119.6,-78.875,90,bottom
C39,1n_250V,C_1206_3216Metric,126.5,-73.8,-90,bottom
C40,1n_250V,C_1206_3216Metric,129.1,-115.975,90,bottom
C41,100n,C_0402_1005Metric,138.85,-127.1,-90,bottom
C42,100n,C_0402_1005Metric,133.9,-129,90,bottom
D1,BAT46W-7-F,D_SOD-123,125.3,-78.75,90,bottom
D2,BAT46W-7-F,D_SOD-123,127.75,-78.75,-90,bottom
D3,5.6,D_MiniMELF,130.45,-78.85,90,bottom
D4,5.6,D_MiniMELF,132.8,-78.85,-90,bottom
D5,D_AAK,TO-277A,133.4,-96.6,-90,bottom
D6,D_AAK,TO-277A,133.46,-103.2,-90,bottom
D7,D_AAK,TO-277A,107.6,-109.24,0,bottom
D8,SMAJ54CA,D_SMA,106.4,-98.8,90,bottom
D14,5.6,D_MiniMELF,132.75,-113.55,-90,bottom
D15,5.6,D_MiniMELF,132.75,-119,-90,bottom
D16,BAT46W-7-F,D_SOD-123,130.1,-110.725,-90,bottom
D17,BAT46W-7-F,D_SOD-123,127.65,-110.7348,90,bottom
D21,BAT46W-7-F,D_SOD-123,142,-127.15,180,bottom
D22,BAT46W-7-F,D_SOD-123,137.1,-129.65,180,bottom
D23,D_AAK,TO-277A,107.6,-88.66,180,bottom
R1,1k,R_0603_1608Metric,117.5,-95,0,bottom
R2,1k,R_0603_1608Metric,122.475,-95.25,0,bottom
R4,100,R_0402_1005Metric,134.85,-80.6,-90,bottom
R6,100k,C_0603_1608Metric,117.9,-83.1,90,bottom
R7,1k,R_0603_1608Metric,127.5,-85.4,180,bottom
R8,1k,R_0603_1608Metric,122.25,-114,180,bottom
R11,100,R_0402_1005Metric,129.8,-119.3,180,bottom
R21,10k,R_0603_1608Metric,128.15,-121.75,90,bottom
R22,10k,R_0603_1608Metric,128.15,-124.9,90,bottom
R25,100,R_0402_1005Metric,138.34,-125.4,0,bottom
U2,TL072,SOIC-8_3.9x4.9mm_P1.27mm,119.85,-100.3,-90,bottom
U3,EL3H7BTA-VG,SOIC_BTA-VG_EVS,123.35,-83.3,180,bottom
U5,EL3H7BTA-VG,SOIC_BTA-VG_EVS,124.1,-108.7,90,bottom
U8,AMS1117-3.3,SOT-223-3_TabPin2,119.15,-130.875,-90,bottom
U10,NE555DR,SOIC-8_3.9x4.9mm_P1.27mm,133,-124.8,180,bottom
C4,1n_250V,C_1206_3216Metric,119.4,-80.9,0,top
C6,2.2u,C_1206_3216Metric,125.2,-96.725,-90,top
C7,470u_100V,CP_Radial_D16.0mm_P7.50mm,139.587246,-116.4,0,top
C8,470u_100V,CP_Radial_D16.0mm_P7.50mm,139.487246,-79.55,0,top
C9,470u_100V,CP_Radial_D16.0mm_P7.50mm,139.587246,-98.4,0,top
C10,470u_100V,CP_Radial_D16.0mm_P7.50mm,139.487246,-61.6,0,top
C12,1n_250V,C_1206_3216Metric,121.8,-120.75,-90,top
C13,470u_100V,CP_Radial_D16.0mm_P7.50mm,139.587246,-134.6,0,top
C15,100n,C_0402_1005Metric,117,-130.615,90,top
C16,100n,C_0402_1005Metric,123.685,-140.065,0,top
C17,100n,C_0402_1005Metric,117.085,-141.345,-90,top
C18,100n,C_0402_1005Metric,124.285,-135.065,0,top
C19,100n,C_0402_1005Metric,112.135,-137.465,0,top
C20,100n,C_0402_1005Metric,123.685,-139.065,180,top
C21,100n,C_0402_1005Metric,122.065,-131.365,180,top
C22,100n,C_0402_1005Metric,124.285,-136.065,180,top
C23,100n,C_0402_1005Metric,112.135,-136.465,0,top
C24,100n,C_0402_1005Metric,131.185,-140.715,180,top
C25,100n,C_0402_1005Metric,113.3,-139.5,90,top
C26,2.2u,C_1206_3216Metric,127.75,-69.4,90,top
C28,2.2u,C_1206_3216Metric,130.25,-69.4,90,top
C33,100n,C_0805_2012Metric,127.45,-77.3,180,top
C43,2.2u,C_1206_3216Metric,122.5,-96.7,-90,top
C44,2.2u,C_1206_3216Metric,119.85,-96.725,-90,top
C45,36pf,C_0402_1005Metric,112.7,-131.18,90,top
C46,36pf,C_0402_1005Metric,108.08,-136.8,180,top
D18,5.6,D_MiniMELF,118.5,-54.1575,180,top
D19,5.6,D_MiniMELF,112.5,-54.1575,180,top
D20,D_Schottky,D_SMA,120.725,-69.85,180,top
F1,0154005.DRT,Fuseholder_Littelfuse_Nano2_154x,122.1,-61.75,90,top
J2,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",111.495,-96.255,-90,top
J3,Conn_01x04_Pin,PinHeader_1x04_P1.00mm_Vertical,111.5,-139,0,top
J4,Conn_01x08_Pin,PinHeader_1x08_P1.00mm_Vertical,111.6,-143.6,90,top
J5,Conn_01x03_Pin,PinHeader_1x03_P1.00mm_Vertical,121.885,-143.565,90,top
J7,Conn_01x03_Pin,PinHeader_1x03_P1.00mm_Vertical,129,-143.6,90,top
J8,USB_B_Micro,AMPHENOL_10118194-0001LF,105.5037,-131.5004,-90,top
J9,Conn_01x02_Pin,PinHeader_1x02_P1.27mm_Vertical,133.2,-134.75,180,top
J10,Barrel_Jack_Switch,C319099,114.7,-61.6,0,top
L1,100u,L_Coilcraft_XAL6060-XXX,120.725,-75.75,180,top
Q1,Q_NMOS_GDS,TO-263-2,127.975,-88.025,0,top
Q2,Q_NMOS_GDS,TO-263-2,110.625,-81.075,-90,top
Q3,Q_NMOS_GDS,TO-263-2,128,-112.6,0,top
Q4,Q_NMOS_GDS,TO-263-2,110.625,-115.975,90,top
Q5,Q_PMOS_GDS,TO-252-2,129.125,-59.765,-90,top
R3,150,R_0805_2012Metric,125.8,-101.2125,-90,top
R5,27.4,R_0402_1005Metric,115.21,-69.95,0,top
R9,27.4,R_0402_1005Metric,110.95,-127.05,180,top
R10,100k,C_0603_1608Metric,119.9,-105,0,top
R12,150,R_0805_2012Metric,122,-101.2125,-90,top
R13,150,R_0805_2012Metric,119.8,-101.2,-90,top
R14,1k,R_0603_1608Metric,110,-137.5,90,top
R15,27.4,R_0402_1005Metric,123.685,-138.065,180,top
R16,27.4,R_0402_1005Metric,123.685,-137.065,180,top
R17,10k,R_0603_1608Metric,131.585,-129.165,0,top
R18,1k,R_0603_1608Metric,128.385,-129.165,0,top
R19,100k,C_0603_1608Metric,130.25,-73.425,-90,top
R20,1Meg,C_0603_1608Metric,107.5,-54.6575,-90,top
R23,100k,C_0603_1608Metric,127.1,-79.7,0,top
R24,6.8k,R_0603_1608Metric,130.65,-79.7,0,top
U6,RP2040,RP2040,118.145,-136.13,-90,top
U7,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,128.585,-135.165,-90,top
U9,LMR16006,SOT-23-6,127.45,-74,90,top
Y1,12Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,111.585,-133.865,0,top
